20.07.202010:44:46;4553878;3231428;2935527;4836123;3194764;3270105;0;0;;
20.07.202010:44:47;4553875;3231471;2935551;4836382;3194721;3270114;1;0;;
20.07.202010:44:48;4553951;3231410;2935542;4836436;3194736;3270150;2;0;;
20.07.202010:44:49;4553854;3231456;2935490;4836233;3194725;3270055;3;0;;
20.07.202010:44:50;4553934;3231421;2935472;4836305;3194740;3270114;4;0;;
20.07.202010:44:51;4553909;3231433;2935509;4836390;3194743;3270132;5;0;;
20.07.202010:44:52;4553908;3231426;2935490;4836396;3194763;3270109;6;0;;
20.07.202010:44:53;4553795;3231476;2935481;4836424;3194780;3270153;7;0;;
20.07.202010:44:54;4553932;3231392;2935478;4836412;3194787;3270178;8;0;;
20.07.202010:44:55;4553837;3231424;2935454;4836459;3194708;3270135;9;0;;
20.07.202010:44:56;4553843;3231471;2935497;4836484;3194717;3270112;10;0;;
20.07.202010:44:57;4553888;3231417;2935522;4836319;3194815;3270105;11;0;;
20.07.202010:44:58;4553879;3231421;2935529;4836333;3194731;3270096;12;0;;
20.07.202010:44:59;4553915;3231461;2935498;4836171;3194735;3270123;13;0;;
20.07.202010:45:00;4553929;3231435;2935476;4836224;3194743;3270104;14;0;;
20.07.202010:45:01;4553942;3231416;2935532;4836358;3194756;3270120;15;0;;
20.07.202010:45:02;4553852;3231468;2935467;4836259;3194847;3270125;16;0;;
20.07.202010:45:03;4553881;3231393;2935536;4836308;3194840;3270122;17;0;;
20.07.202010:45:04;4553950;3231381;2935543;4836480;3194767;3270065;18;0;;
20.07.202010:45:05;4553990;3231373;2935505;4836320;3194785;3270135;19;0;;
20.07.202010:45:06;4553884;3231407;2935437;4836326;3194808;3270139;20;0;;
20.07.202010:45:07;4554083;3231366;2935441;4836308;3194750;3270124;21;0;;
20.07.202010:45:08;4553908;3231382;2935455;4836485;3194769;3270137;22;0;;
20.07.202010:45:09;4554023;3231434;2935496;4836245;3194791;3270185;23;0;;
20.07.202010:45:10;4553846;3231370;2935536;4836315;3194743;3270112;24;0;;
20.07.202010:45:11;4553875;3231411;2935471;4836406;3194710;3270084;25;0;;
20.07.202010:45:12;4553899;3231322;2935433;4836329;3194773;3270074;26;0;;
20.07.202010:45:13;4553901;3231456;2935434;4836288;3194794;3270107;27;0;;
20.07.202010:45:14;4553996;3231371;2935500;4836354;3194814;3270161;28;0;;
20.07.202010:45:15;4553900;3231423;2935431;4836275;3194811;3270121;29;0;;
20.07.202010:45:16;4553966;3231397;2935512;4836433;3194789;3270072;30;0;;
20.07.202010:45:17;4553957;3231350;2935419;4836452;3194754;3270122;31;0;;
20.07.202010:45:18;4553892;3231465;2935483;4836401;3194819;3270115;32;0;;
20.07.202010:45:19;4553814;3231473;2935429;4836452;3194823;3270141;33;0;;
20.07.202010:45:20;4553956;3231358;2935464;4836289;3194743;3270111;34;0;;
20.07.202010:45:21;4553878;3231369;2935416;4836250;3194770;3270102;35;0;;
20.07.202010:45:22;4553908;3231384;2935512;4836426;3194748;3270073;36;0;;
20.07.202010:45:23;4553793;3231477;2935497;4836461;3194780;3270099;37;0;;
20.07.202010:45:24;4553868;3231367;2935564;4836403;3194758;3270088;38;0;;
20.07.202010:45:25;4553851;3231412;2935474;4836417;3194830;3270095;39;0;;
20.07.202010:45:26;4553913;3231349;2935368;4836482;3194801;3270075;40;0;;
20.07.202010:45:27;4553926;3231468;2935487;4836487;3194780;3270123;41;0;;
20.07.202010:45:28;4553962;3231369;2935476;4836488;3194781;3270154;42;0;;
20.07.202010:45:29;4553879;3231491;2935418;4836353;3194741;3270095;43;0;;
20.07.202010:45:30;4553869;3231373;2935471;4836326;3194738;3270159;44;0;;
20.07.202010:45:31;4553945;3231430;2935484;4836455;3194734;3270177;45;0;;
20.07.202010:45:32;4554034;3231468;2935462;4836373;3194789;3270121;46;0;;
20.07.202010:45:33;4553942;3231421;2935403;4836299;3194764;3270115;47;0;;
20.07.202010:45:34;4553945;3231440;2935394;4836334;3194788;3270154;48;0;;
20.07.202010:45:35;4554059;3231426;2935417;4836402;3194752;3270089;49;0;;
20.07.202010:45:36;4554028;3231366;2935431;4836420;3194740;3270095;50;0;;
20.07.202010:45:37;4553925;3231391;2935525;4836298;3194753;3270144;51;0;;
20.07.202010:45:38;4553926;3231394;2935453;4836416;3194771;3270097;52;0;;
20.07.202010:45:39;4553922;3231394;2935421;4836352;3194798;3270068;53;0;;
20.07.202010:45:40;4553799;3231432;2935447;4836389;3194801;3270122;54;0;;
20.07.202010:45:41;4553889;3231355;2935431;4836416;3194729;3270128;55;0;;
20.07.202010:45:42;4553991;3231373;2935375;4836378;3194787;3270062;56;0;;
20.07.202010:45:43;4553873;3231387;2935403;4836406;3194739;3270098;57;0;;
20.07.202010:45:44;4553917;3231354;2935494;4836481;3194754;3270213;58;0;;
20.07.202010:45:45;4553922;3231395;2935435;4836365;3194767;3270091;59;0;;
20.07.202010:45:46;4553897;3231369;2935563;4836439;3194737;3270076;60;0;;
20.07.202010:45:47;4553788;3231341;2935329;4836348;3194729;3270093;61;0;;
20.07.202010:45:48;4553949;3231354;2935471;4836441;3194774;3270098;62;0;;
20.07.202010:45:49;4553837;3231407;2935376;4836448;3194747;3270063;63;0;;
20.07.202010:45:50;4554055;3231320;2935387;4836421;3194745;3270085;64;0;;
20.07.202010:45:51;4553954;3231406;2935383;4836574;3194755;3270110;65;0;;
20.07.202010:45:52;4554042;3231322;2935505;4836427;3194803;3270063;66;0;;
20.07.202010:45:53;4553921;3231322;2935473;4836363;3194772;3270133;67;0;;
20.07.202010:45:54;4553996;3231361;2935451;4836345;3194780;3270086;68;0;;
20.07.202010:45:55;4553911;3231444;2935335;4836322;3194729;3270101;69;0;;
20.07.202010:45:56;4553972;3231417;2935483;4836364;3194760;3270070;70;0;;
20.07.202010:45:57;4553923;3231348;2935454;4836408;3194709;3270104;71;0;;
20.07.202010:45:58;4553948;3231354;2935361;4836321;3194743;3270160;72;0;;
20.07.202010:45:59;4554053;3231388;2935354;4836233;3194743;3270141;73;0;;
20.07.202010:46:00;4553982;3231343;2935336;4836272;3194700;3270165;74;0;;
20.07.202010:46:01;4553990;3231347;2935395;4836275;3194755;3270093;75;0;;
20.07.202010:46:02;4553995;3231395;2935370;4836367;3194767;3270097;76;0;;
20.07.202010:46:03;4553985;3231259;2935431;4836451;3194802;3270137;77;0;;
20.07.202010:46:04;4554046;3231382;2935431;4836320;3194825;3270096;78;0;;
20.07.202010:46:05;4554004;3231381;2935392;4836281;3194729;3270109;79;0;;
20.07.202010:46:06;4553949;3231428;2935439;4836489;3194763;3270065;80;0;;
20.07.202010:46:07;4553925;3231340;2935404;4836404;3194737;3270016;81;0;;
20.07.202010:46:08;4553995;3231408;2935407;4836442;3194770;3270062;82;0;;
20.07.202010:46:09;4553899;3231371;2935332;4836433;3194772;3270112;83;0;;
20.07.202010:46:10;4553946;3231435;2935380;4836438;3194771;3270092;84;0;;
20.07.202010:46:11;4553967;3231389;2935407;4836475;3194777;3270164;85;0;;
20.07.202010:46:12;4554124;3231340;2935367;4836391;3194773;3270213;86;0;;
20.07.202010:46:13;4553971;3231310;2935340;4836529;3194761;3270163;87;0;;
20.07.202010:46:14;4554005;3231351;2935403;4836410;3194770;3270095;88;0;;
20.07.202010:46:15;4553964;3231247;2935358;4836401;3194716;3270110;89;0;;
20.07.202010:46:16;4553985;3231329;2935330;4836345;3194775;3270078;90;0;;
20.07.202010:46:17;4553986;3231437;2935435;4836406;3194736;3270070;91;0;;
20.07.202010:46:18;4553998;3231346;2935427;4836405;3194703;3270040;92;0;;
20.07.202010:46:19;4553983;3231329;2935377;4836491;3194685;3270152;93;0;;
20.07.202010:46:20;4553933;3231313;2935285;4836452;3194744;3270129;94;0;;
20.07.202010:46:21;4553953;3231305;2935263;4836492;3194751;3270082;95;0;;
20.07.202010:46:22;4553945;3231356;2935396;4836420;3194721;3270153;96;0;;
20.07.202010:46:23;4553921;3231343;2935419;4836402;3194739;3270119;97;0;;
20.07.202010:46:24;4554001;3231348;2935381;4836390;3194774;3270108;98;0;;
20.07.202010:46:25;4554094;3231313;2935384;4836398;3194737;3270037;99;0;;
20.07.202010:46:26;4554061;3231288;2935305;4836440;3194754;3270081;100;0;;
20.07.202010:46:27;4553923;3231226;2935379;4836427;3194739;3270044;101;0;;
20.07.202010:46:28;4554033;3231282;2935392;4836341;3194734;3270099;102;0;;
20.07.202010:46:29;4554056;3231286;2935335;4836305;3194684;3270087;103;0;;
20.07.202010:46:30;4553948;3231276;2935363;4836523;3194725;3270175;104;0;;
20.07.202010:46:31;4554034;3231350;2935361;4836581;3194722;3270134;105;0;;
20.07.202010:46:32;4553984;3231374;2935385;4836589;3194714;3270157;106;0;;
20.07.202010:46:33;4554070;3231433;2935335;4836401;3194772;3270173;107;0;;
20.07.202010:46:34;4554025;3231395;2935331;4836436;3194740;3270143;108;0;;
20.07.202010:46:35;4554006;3231360;2935322;4836332;3194775;3270124;109;0;;
20.07.202010:46:36;4554029;3231381;2935376;4836485;3194772;3270124;110;0;;
20.07.202010:46:37;4553990;3231368;2935398;4836491;3194693;3270121;111;0;;
20.07.202010:46:38;4553984;3231240;2935410;4836488;3194688;3270112;112;0;;
20.07.202010:46:39;4553872;3231318;2935397;4836471;3194770;3270054;113;0;;
